Player	Position	Team
Austin Seferian-Jenkins	TE	TB
Ladarius Green	TE	SD
Taylor Thompson	TE	TEN
Rhett Ellison	TE	MIN
Coby Fleener	TE	IND
John Carlson	TE	ARI
Jermaine Gresham	TE	CIN
Robert Housler	TE	ARI
Brent Celek	TE	PHI
Tim Wright	TE	NE
Jason Witten	TE	DAL
Gary Barnidge	TE	CLE
Lance Kendricks	TE	STL
Brian Leonhardt	TE	OAK
Dante Rosario	TE	CHI
Brandon Pettigrew	TE	DET
Dion Sims	TE	MIA
Virgil Green	TE	DEN
Luke Stocker	TE	TB
Jack Doyle	TE	IND
Jacob Tamme	TE	DEN
Daniel Fells	TE	NYG
Derek Carrier	TE	SF
Eric Ebron	TE	DET
Scott Chandler	TE	BUF
Garrett Graham	TE	HOU
Troy Niklas	TE	ARI
Chris Gragg	TE	BUF
Demetrius Harris	TE	KC
Vance McDonald	TE	SF
Cory Harkey	TE	STL
Jace Amaro	TE	NYJ
Michael Hoomanawanui	TE	NE
Josh Hill	TE	NO
Craig Stevens	TE	TEN
James Casey	TE	PHI
Zach Sudfeld	TE	NYJ
Ben Watson	TE	NO
Marcel Jensen	TE	JAC
Gavin Escobar	TE	DAL
Clay Harbor	TE	JAC
Nic Jacobs	TE	JAC
Richard Rodgers	TE	GB
Logan Paulsen	TE	WAS
Chase Ford	TE	MIN
Adrien Robinson	TE	NYG
David Ausberry	TE	OAK
C.J. Fiedorowicz	TE	HOU
James Hanna	TE	DAL
Michael Palmer	TE	PIT
Cooper Helfet	TE	SEA
Luke Willson	TE	SEA
Chase Coffman	TE	TEN
Ed Dickson	TE	CAR
MarQueis Gray	TE	MIN
Ryan Griffin	TE	HOU
Jordan Reed	TE	WAS
Crockett Gillmore	TE	BAL
Brandon Williams	TE	CAR
Trey Burton	TE	PHI
Calvin Johnson	WR	DET
Allen Hurns	WR	JAC
A.J. Green	WR	CIN
Cordarrelle Patterson	WR	MIN
Steve Smith	WR	BAL
Antonio Brown	WR	PIT
Jeremy Maclin	WR	PHI
Brandin Cooks	WR	NO
Kelvin Benjamin	WR	CAR
DeAndre Hopkins	WR	HOU
Mike Wallace	WR	MIA
Roddy White	WR	ATL
Brandon Marshall	WR	CHI
Michael Floyd	WR	ARI
Randall Cobb	WR	GB
Greg Jennings	WR	MIN
Julian Edelman	WR	NE
Julio Jones	WR	ATL
Marques Colston	WR	NO
Malcom Floyd	WR	SD
Terrance Williams	WR	DAL
Rod Streater	WR	OAK
Kendall Wright	WR	TEN
Percy Harvin	WR	SEA
Anquan Boldin	WR	SF
Devin Hester	WR	ATL
Brian Quick	WR	STL
Ricardo Lockette	WR	SEA
Reggie Wayne	WR	IND
Golden Tate	WR	DET
Markus Wheaton	WR	PIT
Hakeem Nicks	WR	IND
James Jones	WR	OAK
Andre Johnson	WR	HOU
Travis Benjamin	WR	CLE
John Brown	WR	ARI
Emmanuel Sanders	WR	DEN
Andrew Hawkins	WR	CLE
Donnie Avery	WR	KC
Jordy Nelson	WR	GB
Chris Owusu	WR	TB
Robert Woods	WR	BUF
Pierre Garcon	WR	WAS
Eric Decker	WR	NYJ
Alshon Jeffery	WR	CHI
Harry Douglas	WR	ATL
Dwayne Harris	WR	DAL
Justin Hunter	WR	TEN
Marqise Lee	WR	JAC
Nate Washington	WR	TEN
Sammy Watkins	WR	BUF
Dez Bryant	WR	DAL
Mohamed Sanu	WR	CIN
Michael Crabtree	WR	SF
Demaryius Thomas	WR	DEN
Jason Avant	WR	CAR
Miles Austin	WR	CLE
Rueben Randle	WR	NYG
Andre Roberts	WR	WAS
Allen Robinson	WR	JAC
Eddie Royal	WR	SD
T.Y. Hilton	WR	IND
Jermaine Kearse	WR	SEA
Victor Cruz	WR	NYG
Jeremy Kerley	WR	NYJ
Ryan Grant	WR	WAS
Keenan Allen	WR	SD
Larry Fitzgerald	WR	ARI
Vincent Jackson	WR	TB
Davante Adams	WR	GB
Brandon Tate	WR	CIN
Mike Evans	WR	TB
Jarvis Landry	WR	MIA
Jerricho Cotchery	WR	CAR
Austin Pettis	WR	STL
Andre Holmes	WR	OAK
Jordan Matthews	WR	PHI
DeSean Jackson	WR	WAS
Damaris Johnson	WR	HOU
Steve Johnson	WR	SF
Cecil Shorts	WR	JAC
Brian Hartline	WR	MIA
Taylor Gabriel	WR	CLE
Kenny Britt	WR	STL
Eric Weems	WR	ATL
Philly Brown	WR	CAR
Donte Moncrief	WR	IND
Wes Welker	WR	DEN
Brandon LaFell	WR	NE
Mike Williams	WR	BUF
Jarius Wright	WR	MIN
Jeremy Ross	WR	DET
Torrey Smith	WR	BAL
Louis Murphy	WR	TB
Dwayne Bowe	WR	KC
Kenny Stills	WR	NO
Greg Salas	WR	NYJ
Riley Cooper	WR	PHI
Odell Beckham Jr.	WR	NYG
Brandon Lloyd	WR	SF
Robert Herron	WR	TB
Preston Parker	WR	NYG
Adam Thielen	WR	MIN
Doug Baldwin	WR	SEA
Junior Hemingway	WR	KC
Chris Hogan	WR	BUF
Brice Butler	WR	OAK
Brian Tyms	WR	NE
Michael Campanaro	WR	BAL
Lance Moore	WR	PIT
Kamar Aiken	WR	BAL
Josh Morgan	WR	CHI
